epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2758.69,1.8838,2.74395,1.38447,0.48701,0.34324,0.30805,0.23472,1.68199,2.12955,1.35204,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327
2,5110.67,1.72817,2.1803,1.29559,0.44196,0.37764,0.35547,0.27634,1.58795,1.97563,1.3003,0.0193382,0.00644605,0.0193382,0.00644605,0.0193382,0.00644605,0.0193382,0.00644605
3,7371.59,1.71214,2.10288,1.28132,0.48355,0.41548,0.38511,0.30483,1.52441,1.89584,1.28189,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941
4,9469.36,1.67124,2.04193,1.26149,0.58695,0.4032,0.40657,0.32939,1.47541,1.84396,1.254,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,11704.3,1.61466,1.96962,1.23627,0.53721,0.41625,0.41717,0.33952,1.43359,1.77904,1.23044,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,13791.5,1.58042,1.92351,1.2216,0.51929,0.44813,0.43594,0.35535,1.41688,1.74817,1.22119,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,15867.7,1.55706,1.89075,1.21211,0.50832,0.46937,0.44625,0.36716,1.39822,1.72804,1.21097,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,18079.4,1.54105,1.86763,1.20188,0.5169,0.46679,0.45179,0.37272,1.38302,1.70743,1.20295,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,20111.1,1.5265,1.84985,1.19639,0.53444,0.46172,0.45331,0.37491,1.3702,1.69557,1.19762,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,22566,1.51843,1.83022,1.19125,0.52917,0.46632,0.45807,0.37983,1.36253,1.68873,1.19446,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,24881.5,1.50628,1.81356,1.18631,0.52023,0.47263,0.46103,0.38334,1.35846,1.67992,1.19285,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,26809,1.49417,1.80193,1.18245,0.5326,0.47586,0.4641,0.3865,1.35316,1.67348,1.19087,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,29115.6,1.48386,1.78968,1.17792,0.54106,0.47441,0.46683,0.38909,1.34897,1.66891,1.18916,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,31131.8,1.47627,1.77764,1.17413,0.54702,0.47409,0.46948,0.39157,1.34502,1.66457,1.18718,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,33177.5,1.46773,1.76729,1.17167,0.5507,0.47558,0.47193,0.39414,1.34131,1.65908,1.18579,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,35627,1.45492,1.75279,1.16552,0.55591,0.47681,0.4752,0.39697,1.33777,1.65491,1.18381,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,37833.9,1.4519,1.74674,1.16508,0.55359,0.48399,0.47715,0.39915,1.33456,1.65092,1.18226,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,40039.2,1.44218,1.73047,1.16085,0.55493,0.48564,0.47859,0.4008,1.33113,1.64659,1.18066,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,42301.2,1.43463,1.72227,1.15789,0.56502,0.48485,0.48126,0.40328,1.32751,1.64223,1.17927,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,44471,1.42641,1.71345,1.1548,0.56725,0.48525,0.48387,0.40573,1.32425,1.63741,1.17771,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,46427.9,1.42338,1.68931,1.17422,0.56635,0.48352,0.4857,0.40769,1.32034,1.63264,1.17555,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,48490.8,1.40925,1.66318,1.16576,0.57358,0.48401,0.48973,0.41156,1.31558,1.62645,1.1733,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,50352.8,1.39118,1.64199,1.15929,0.57268,0.49058,0.49374,0.41505,1.31092,1.62123,1.17087,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,52321.3,1.38128,1.62555,1.15456,0.58052,0.49214,0.49694,0.41799,1.3066,1.61551,1.169,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,54237,1.37171,1.61124,1.14964,0.58567,0.49667,0.49935,0.42018,1.30305,1.61218,1.16662,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,56120,1.3532,1.59029,1.14413,0.59581,0.49527,0.5029,0.4238,1.301,1.60711,1.16502,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,58243.9,1.34249,1.57587,1.13959,0.60323,0.4955,0.50672,0.42729,1.29844,1.60215,1.16337,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,60151.1,1.33241,1.56214,1.13592,0.61788,0.49219,0.51034,0.43083,1.29626,1.59864,1.16172,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,62097,1.3213,1.54775,1.13224,0.61427,0.49585,0.51317,0.43371,1.29396,1.59502,1.16038,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,64017,1.31,1.53544,1.12802,0.62438,0.49367,0.51566,0.43613,1.29276,1.59275,1.15903,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
